id,exercise_name,videoURL,steps,Category,Difficulty,Force,Grips,target,youtubeURL,details,Aka
0,Barbell Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-curl-side.mp4#t=0.1']","['While holding the upper arms stationary, curl the weights forward while contracting the biceps as you breathe out.', 'Continue the movement until your biceps are fully contracted and the bar is at shoulder level.', 'Hold the contracted position for a second and squeeze the biceps hard.', 'Slowly bring the weight back down to the starting position.']",Barbell,Beginner,Pull,Underhand,{'Primary': ['Biceps']},https://www.youtube.com/embed/PGW-SgbEfGU,"
**Detailed How To:**- Grab the barbell with a shoulder width, underhand grip.- Flex at the elbows until your forearms press into your bicep (this will look different from person to person).- Begin to extend your elbows and control the weight during the eccentric part of the exercise.- Make sure to fully extend your elbows at the end of the rep.- Repeat until you hit muscular fatigue (1-3 reps left in the tank)**Ty's Tips**One of the drawbacks with a Barbell Curl is the bar limits Range of Motion somewhat. The bar will hit your legs before you can fully extend your arms. On most exercises, we want the longest Range or Motion possible. To remedy this,Push your butt back a tad bit. This will give you a little more room to fully extend your elbows.Watch out for cheating. Using momentum often naturally happens with a Barbell Curl (and most Dumbbell curl variations). There is a move called the Cheat Curl popularized by Arnold himself. But consider that a separate exercise.Root your feet to the floor and use a mirror to watch your form. If your hips begin moving and you're unable to continue to perform reps without any hip movement, end the set.A 6-12 rep range works well for this exercise.
",
1,Dumbbell Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-curl-side.mp4#t=0.1']","[""Stand up straight with a dumbbell in each hand at arm's length."", 'Raise one dumbbell and twist your forearm until it is vertical and your palm faces the shoulder.', 'Lower to original position and repeat with opposite arm']",Dumbbells,Beginner,Pull,Underhand,{'Primary': ['Biceps']},https://www.youtube.com/embed/P1FqV-oFn5M,"
How To Perform the Dumbbell Bicep CurlSetupGrab two dumbbells and stand tall with your shoulder blades pulled back and your chest poked out. You can start with either the dumbbells in front of your quads or off to the sides of your legs. Whichever is more comfortable. Also, whichever will allow you to fully extend your elbows at the bottom of each rep.Use a shoulder width or slightly inside of shoulder width stance. Performing Begin the rep by flexing your elbows. Try to touch your forearms to your biceps at the very top of the movement. Then begin the eccentric. Make sure to fully extend your elbows at the bottom of each rep so you get a full range of motion. It is easy to use momentum on a bicep curl. We want our muscles and not momentum to do the work. So make sure you keep these strict. If you find yourself swinging the weight up, then your biceps have hit fatigue and it's time to end the set.
",
2,Dumbbell Hammer Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-hammer-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-hammer-curl-side.mp4#t=0.1']","['Hold the dumbbells with a neutral grip (thumbs facing the ceiling).', 'Slowly lift the dumbbell up to chest height', 'Return to starting position and repeat.']",Dumbbells,Beginner,Pull,Neutral,{'Primary': ['Biceps']},https://www.youtube.com/embed/tvRlfjjH5NA,,
3,Kettlebell Goblet Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-goblet-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-goblet-curl-side.mp4#t=0.1']","['Stand up straight with a kettlebell in both hands in front of your pelvis.', 'Raise the kettlebell bending your arms at the elbow until the kettlebell is level with your chest.', 'Lower to the starting position and repeat.']",Kettlebells,Beginner,,,{'Primary': ['Biceps']},,,
4,Kettlebell Concentration Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-concentration-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-concentration-curl-side.mp4#t=0.1']","['Sitting on a chair with your legs apart, rest your arm against your thigh and hold the kettlebell with your arm extended towards the floor.', 'Bending your arm at the elbow, lift the kettlebell until your palm faces your shoulder.', 'Lower to the starting position and repeat.']",Kettlebells,Intermediate,Pull,Underhand,{'Primary': ['Biceps']},,,
5,Kettlebell Preacher Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-preacher-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-preacher-curl-side.mp4#t=0.1']","['Stand behind a bench, with your chest leaning over the edge of the bench.', 'With one arm resting on the bench, hold the kettlebell, bending the arm at the elbow.', 'Lower your arm using the bench as a guide, keeping your forearm straight.', 'Return to the starting position and repeat.']",Kettlebells,Intermediate,Pull,Underhand,{'Primary': ['Biceps']},,,
6,Kettlebell Single Arm Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-single-arm-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-single-arm-curl-side.mp4#t=0.1']","['Stand up straight with a kettlebell in one hand with your forearm facing out.', 'Raise the kettlebell, bending your arm at the elbow and keeping your forearm vertical until your palm faces the shoulder.', 'Lower to the starting position and repeat.']",Kettlebells,Beginner,,,{'Primary': ['Biceps']},,,
7,Biceps Stretch Variation Five,"['https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-5-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-5-side.mp4#t=0.1']","['Stand upright with your feet shoulder width apart.', 'Raise your arms out to your sides, bringing them up to shoulder level.', 'Rotate your palms so they are facing the ceiling.', 'Then, change direction and rotate the arms as much as you can.']",Stretches,Beginner,,None,{'Primary': ['Biceps']},,,
8,Biceps Stretch Variation Four,"['https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-4-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-4-side.mp4#t=0.1']","['Stand an arms width away from the wall.', 'Raise your arms out behind you, and place them on the wall with your fingers pointing up.', 'Bend your knees whilst keeping your hands in the same position.']",Stretches,Beginner,,None,{'Primary': ['Biceps']},,,
9,Biceps Stretch Variation Three,"['https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-3-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-3-side.mp4#t=0.1']","['Bend your arm at the elbow, raising your hand to your shoulder.', 'Using your other hand, stretch the arm down to its full extent.']",Stretches,Beginner,,None,{'Primary': ['Biceps']},,,
